Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,WeekStatus,Day_of_week,Load_Type
2.88,3.82,0.0,60.2,100.0,Weekend,Sunday,Light_Load
60.77,48.02,0.0,78.46,100.0,Weekday,Thursday,Maximum_Load
120.42,59.65,0.0,89.61,100.0,Weekday,Friday,Maximum_Load
3.13,0.0,16.6,100.0,18.53,Weekend,Saturday,Light_Load
58.86,20.99,0.0,94.19,100.0,Weekday,Friday,Medium_Load
3.1,3.49,0.0,66.41,100.0,Weekday,Monday,Light_Load
9.4,0.0,20.52,100.0,41.65,Weekday,Tuesday,Medium_Load
3.6,3.35,0.0,73.21,100.0,Weekday,Wednesday,Light_Load
4.61,2.2,0.07,90.25,99.99,Weekday,Friday,Light_Load
3.78,3.13,0.11,77.02,99.96,Weekend,Saturday,Light_Load
2.84,5.26,0.0,47.51,100.0,Weekend,Sunday,Light_Load
3.02,5.26,0.0,49.79,100.0,Weekday,Wednesday,Light_Load
2.84,5.36,0.0,46.82,100.0,Weekday,Thursday,Light_Load
64.84,51.37,0.0,78.38,100.0,Weekday,Thursday,Maximum_Load
2.81,5.18,0.0,47.68,100.0,Weekend,Sunday,Light_Load
87.05,36.65,0.0,92.16,100.0,Weekday,Friday,Medium_Load
3.64,3.2,0.0,75.1,100.0,Weekend,Saturday,Light_Load
111.2,52.49,0.0,90.43,100.0,Weekday,Monday,Maximum_Load
72.86,56.99,0.0,78.77,100.0,Weekday,Tuesday,Maximum_Load
37.8,2.2,0.4,99.83,99.99,Weekday,Friday,Medium_Load
53.93,32.47,0.0,85.67,100.0,Weekday,Friday,Light_Load
58.93,30.38,0.0,88.88,100.0,Weekday,Friday,Maximum_Load
2.59,5.36,0.0,43.51,100.0,Weekday,Wednesday,Light_Load
3.71,0.0,20.16,100.0,18.1,Weekend,Saturday,Medium_Load
3.42,0.0,19.48,100.0,17.29,Weekday,Wednesday,Maximum_Load
2.88,4.14,0.0,57.11,100.0,Weekday,Thursday,Light_Load
64.94,29.56,0.0,91.01,100.0,Weekday,Friday,Maximum_Load
97.13,43.92,0.0,91.12,100.0,Weekday,Thursday,Medium_Load
69.55,29.77,0.0,91.93,100.0,Weekday,Monday,Medium_Load
2.59,3.38,0.0,60.82,100.0,Weekend,Sunday,Light_Load
4.68,0.0,6.34,100.0,59.39,Weekend,Sunday,Light_Load
37.3,2.88,1.22,99.7,99.95,Weekday,Wednesday,Medium_Load
3.49,6.26,0.0,48.69,100.0,Weekday,Friday,Light_Load
3.53,4.93,0.0,58.22,100.0,Weekday,Friday,Light_Load
3.1,3.71,0.0,64.12,100.0,Weekday,Thursday,Light_Load
3.53,5.26,0.0,55.72,100.0,Weekday,Tuesday,Light_Load
56.34,31.25,0.0,87.45,100.0,Weekday,Monday,Light_Load
3.31,2.77,0.0,76.69,100.0,Weekday,Thursday,Light_Load
3.38,5.76,0.0,50.61,100.0,Weekday,Thursday,Light_Load
2.66,4.79,0.0,48.55,100.0,Weekday,Wednesday,Light_Load
2.99,4.82,0.0,52.71,100.0,Weekday,Thursday,Light_Load
8.39,0.0,22.79,100.0,34.55,Weekday,Thursday,Medium_Load
3.6,3.31,0.0,73.61,100.0,Weekday,Tuesday,Light_Load
4.72,0.0,22.1,100.0,20.89,Weekend,Sunday,Medium_Load
76.18,47.41,0.0,84.9,100.0,Weekday,Monday,Maximum_Load
3.6,0.0,17.39,100.0,20.27,Weekday,Monday,Light_Load
4.9,0.0,24.01,100.0,20.0,Weekday,Monday,Medium_Load
47.2,24.48,0.0,88.77,100.0,Weekday,Friday,Medium_Load
59.04,26.28,0.0,91.36,100.0,Weekday,Friday,Maximum_Load
2.84,4.36,0.0,54.58,100.0,Weekday,Tuesday,Light_Load
64.26,38.77,0.0,85.62,100.0,Weekday,Wednesday,Maximum_Load
5.69,0.0,20.2,100.0,27.11,Weekday,Tuesday,Medium_Load
2.74,6.01,0.0,41.48,100.0,Weekday,Thursday,Light_Load
57.89,29.48,0.0,89.11,100.0,Weekday,Thursday,Maximum_Load
3.02,0.0,16.85,100.0,17.64,Weekend,Sunday,Light_Load
35.03,30.74,0.0,75.16,100.0,Weekday,Tuesday,Light_Load
5.54,0.0,19.98,100.0,26.72,Weekday,Thursday,Medium_Load
4.64,3.89,0.0,76.63,100.0,Weekend,Saturday,Light_Load
2.95,4.86,0.0,51.89,100.0,Weekday,Thursday,Light_Load
59.76,14.15,0.0,97.31,100.0,Weekday,Monday,Maximum_Load
5.22,0.0,20.7,100.0,24.45,Weekday,Thursday,Medium_Load
67.68,40.68,0.0,85.71,100.0,Weekday,Friday,Maximum_Load
118.22,54.04,0.0,90.95,100.0,Weekday,Thursday,Medium_Load
5.9,5.29,0.0,74.45,100.0,Weekday,Wednesday,Light_Load
3.17,5.33,0.0,51.12,100.0,Weekend,Saturday,Light_Load
3.17,4.79,0.0,55.19,100.0,Weekend,Sunday,Light_Load
50.08,31.97,0.0,84.29,100.0,Weekday,Wednesday,Light_Load
3.82,2.84,0.07,80.25,99.98,Weekend,Saturday,Light_Load
57.85,22.5,0.0,93.2,100.0,Weekday,Thursday,Medium_Load
27.65,17.17,0.11,84.95,100.0,Weekday,Wednesday,Light_Load
3.02,3.74,0.0,62.82,100.0,Weekday,Tuesday,Light_Load
3.28,2.41,0.07,80.59,99.98,Weekday,Tuesday,Light_Load
60.44,33.73,0.61,87.32,99.99,Weekday,Friday,Medium_Load
3.2,3.1,0.0,71.82,100.0,Weekday,Tuesday,Light_Load
37.87,14.72,0.65,93.21,99.99,Weekday,Monday,Medium_Load
40.07,8.1,0.0,98.02,100.0,Weekday,Thursday,Maximum_Load
3.13,4.9,0.0,53.83,100.0,Weekday,Tuesday,Medium_Load
3.82,3.31,0.0,75.58,100.0,Weekday,Monday,Light_Load
57.85,23.98,0.0,92.38,100.0,Weekday,Friday,Maximum_Load
47.41,29.12,0.0,85.21,100.0,Weekday,Thursday,Medium_Load
3.2,3.17,0.0,71.04,100.0,Weekday,Thursday,Light_Load
2.52,4.36,0.0,50.04,100.0,Weekday,Tuesday,Light_Load
47.23,13.21,0.0,96.3,100.0,Weekend,Saturday,Medium_Load
2.81,5.04,0.0,48.7,100.0,Weekday,Monday,Light_Load
3.82,4.86,0.0,61.8,100.0,Weekday,Wednesday,Light_Load
3.53,0.0,14.15,100.0,24.21,Weekend,Saturday,Light_Load
43.49,23.87,0.0,87.66,100.0,Weekend,Saturday,Medium_Load
3.17,6.12,0.0,45.99,100.0,Weekend,Sunday,Light_Load
2.74,4.9,0.0,48.81,100.0,Weekend,Sunday,Light_Load
5.33,5.04,0.0,72.66,100.0,Weekday,Monday,Light_Load
53.75,16.24,2.66,95.73,99.88,Weekday,Tuesday,Maximum_Load
65.16,17.64,0.0,96.53,100.0,Weekday,Wednesday,Maximum_Load
30.85,7.49,0.0,97.18,100.0,Weekend,Saturday,Maximum_Load
3.13,4.0,0.0,61.63,100.0,Weekday,Thursday,Light_Load
80.14,35.82,0.0,91.3,100.0,Weekday,Tuesday,Maximum_Load
2.63,4.07,0.0,54.27,100.0,Weekday,Tuesday,Light_Load
3.85,0.0,17.32,100.0,21.7,Weekday,Tuesday,Medium_Load
63.61,18.36,0.0,96.08,100.0,Weekday,Tuesday,Maximum_Load
48.38,28.01,0.0,86.54,100.0,Weekday,Thursday,Maximum_Load
2.88,0.0,13.54,100.0,20.8,Weekend,Saturday,Light_Load
129.13,46.58,0.0,94.07,100.0,Weekday,Monday,Medium_Load
41.69,21.17,0.0,89.16,100.0,Weekday,Wednesday,Medium_Load
75.82,43.56,0.0,86.71,100.0,Weekday,Tuesday,Medium_Load
3.53,4.54,0.0,61.38,100.0,Weekend,Saturday,Light_Load
49.0,27.72,0.0,87.04,100.0,Weekday,Wednesday,Maximum_Load
4.97,0.0,25.56,100.0,19.09,Weekday,Friday,Medium_Load
58.97,25.85,0.0,91.59,100.0,Weekday,Wednesday,Medium_Load
3.2,5.22,0.0,52.26,100.0,Weekday,Wednesday,Light_Load
117.07,46.44,0.0,92.95,100.0,Weekday,Monday,Medium_Load
3.49,4.86,0.0,58.33,100.0,Weekend,Saturday,Light_Load
21.1,2.52,2.92,99.29,99.06,Weekend,Sunday,Maximum_Load
2.74,4.68,0.0,50.52,100.0,Weekend,Sunday,Light_Load
3.46,2.56,0.04,80.39,99.99,Weekday,Thursday,Light_Load
5.0,0.0,26.46,100.0,18.57,Weekend,Sunday,Medium_Load
2.84,4.68,0.0,51.88,100.0,Weekday,Monday,Light_Load
4.39,0.0,17.17,100.0,24.77,Weekend,Saturday,Medium_Load
5.26,3.31,0.0,84.64,100.0,Weekday,Friday,Maximum_Load
58.1,52.96,0.0,73.9,100.0,Weekday,Monday,Light_Load
2.81,5.26,0.0,47.12,100.0,Weekday,Tuesday,Light_Load
67.43,44.5,0.0,83.46,100.0,Weekday,Thursday,Maximum_Load
60.3,22.1,0.0,93.89,100.0,Weekday,Friday,Medium_Load
5.0,4.82,0.0,71.99,100.0,Weekday,Thursday,Light_Load
99.58,38.99,0.0,93.12,100.0,Weekday,Thursday,Medium_Load
3.53,3.2,0.0,74.09,100.0,Weekday,Thursday,Light_Load
70.06,27.47,0.0,93.1,100.0,Weekday,Thursday,Medium_Load
3.96,3.64,0.0,73.62,100.0,Weekend,Sunday,Light_Load
4.14,5.47,0.0,60.35,100.0,Weekday,Thursday,Maximum_Load
3.38,0.0,14.62,100.0,22.52,Weekend,Sunday,Light_Load
3.06,3.67,0.0,64.04,100.0,Weekend,Sunday,Light_Load
101.27,47.59,0.0,90.5,100.0,Weekday,Monday,Maximum_Load
14.0,0.0,21.82,100.0,54.0,Weekend,Sunday,Maximum_Load
6.26,0.0,6.77,100.0,67.89,Weekend,Saturday,Light_Load
3.89,3.89,0.0,70.71,100.0,Weekday,Monday,Light_Load
4.43,0.0,21.13,100.0,20.52,Weekday,Monday,Medium_Load
4.28,3.67,0.04,75.91,100.0,Weekday,Tuesday,Light_Load
2.92,4.32,0.0,56.0,100.0,Weekday,Monday,Light_Load
51.73,17.53,0.0,94.71,100.0,Weekday,Thursday,Maximum_Load
54.11,27.22,0.0,89.33,100.0,Weekday,Monday,Maximum_Load
3.49,7.85,0.0,40.62,100.0,Weekday,Wednesday,Light_Load
94.0,36.5,0.0,93.22,100.0,Weekday,Tuesday,Maximum_Load
3.85,0.0,23.04,100.0,16.48,Weekday,Monday,Medium_Load
92.84,40.79,0.0,91.55,100.0,Weekday,Thursday,Maximum_Load
57.56,35.35,0.0,85.21,100.0,Weekday,Friday,Light_Load
3.17,4.32,0.0,59.16,100.0,Weekend,Saturday,Light_Load
5.76,10.22,0.0,49.1,100.0,Weekend,Sunday,Light_Load
67.18,19.94,0.0,95.87,100.0,Weekday,Wednesday,Medium_Load
3.56,2.74,0.14,79.25,99.92,Weekday,Monday,Light_Load
48.17,15.52,0.0,95.18,100.0,Weekday,Tuesday,Medium_Load
4.03,0.0,20.45,100.0,19.33,Weekday,Tuesday,Light_Load
3.06,5.4,0.0,49.3,100.0,Weekday,Tuesday,Medium_Load
3.38,6.41,0.0,46.64,100.0,Weekday,Friday,Light_Load
3.35,0.0,15.05,100.0,21.73,Weekend,Saturday,Light_Load
2.88,1.94,0.25,82.94,99.63,Weekday,Wednesday,Light_Load
60.59,14.98,0.0,97.08,100.0,Weekday,Wednesday,Medium_Load
3.13,5.47,0.0,49.67,100.0,Weekend,Saturday,Light_Load
88.92,65.88,0.0,80.35,100.0,Weekday,Monday,Light_Load
3.42,0.0,14.0,100.0,23.73,Weekday,Tuesday,Light_Load
47.99,7.42,0.25,98.83,100.0,Weekday,Thursday,Maximum_Load
68.8,26.39,0.0,93.37,100.0,Weekday,Wednesday,Medium_Load
139.57,58.9,0.0,92.13,100.0,Weekday,Thursday,Maximum_Load
73.62,13.25,1.69,98.42,99.97,Weekday,Wednesday,Maximum_Load
2.66,4.32,0.0,52.43,100.0,Weekday,Wednesday,Light_Load
2.66,5.18,0.0,45.68,100.0,Weekday,Monday,Light_Load
3.24,3.96,0.0,63.32,100.0,Weekday,Friday,Light_Load
15.01,0.04,13.5,100.0,74.35,Weekend,Sunday,Maximum_Load
2.63,4.54,0.0,50.13,100.0,Weekend,Sunday,Light_Load
3.13,0.0,16.42,100.0,18.72,Weekend,Saturday,Light_Load
2.66,0.0,9.94,100.0,25.85,Weekend,Sunday,Light_Load
2.63,5.36,0.0,44.05,100.0,Weekday,Wednesday,Light_Load
3.17,4.54,0.0,57.25,100.0,Weekend,Sunday,Light_Load
3.6,3.74,0.0,69.35,100.0,Weekday,Tuesday,Light_Load
3.71,0.0,26.1,100.0,14.07,Weekday,Wednesday,Medium_Load
40.68,7.38,0.36,98.39,100.0,Weekday,Friday,Medium_Load
3.38,0.0,13.14,100.0,24.91,Weekend,Saturday,Light_Load
61.67,22.43,1.73,93.98,99.96,Weekday,Monday,Medium_Load
4.93,6.26,0.0,61.87,100.0,Weekday,Thursday,Light_Load
4.0,5.47,0.0,59.03,100.0,Weekday,Wednesday,Light_Load
3.78,6.8,0.0,48.59,100.0,Weekday,Thursday,Maximum_Load
12.49,3.02,12.92,97.2,69.5,Weekday,Monday,Medium_Load
3.06,1.08,5.22,94.3,50.57,Weekend,Saturday,Light_Load
3.02,5.65,0.0,47.14,100.0,Weekday,Friday,Light_Load
2.99,5.22,0.0,49.7,100.0,Weekend,Saturday,Light_Load
2.66,5.69,0.0,42.35,100.0,Weekday,Monday,Light_Load
5.18,0.0,25.99,100.0,19.55,Weekday,Monday,Medium_Load
3.35,2.48,0.0,80.37,100.0,Weekday,Monday,Light_Load
42.05,13.14,0.43,95.45,99.99,Weekday,Friday,Maximum_Load
60.88,31.57,0.0,88.77,100.0,Weekday,Thursday,Maximum_Load
3.13,2.77,0.0,74.89,100.0,Weekend,Saturday,Light_Load
55.01,31.75,0.0,86.61,100.0,Weekday,Monday,Medium_Load
55.84,31.25,0.0,87.26,100.0,Weekday,Monday,Maximum_Load
88.85,36.76,0.0,92.4,100.0,Weekday,Friday,Maximum_Load
3.78,0.0,25.88,100.0,14.45,Weekday,Monday,Medium_Load
9.68,0.0,25.34,100.0,35.69,Weekday,Friday,Medium_Load
33.52,0.58,3.24,99.99,99.54,Weekend,Saturday,Maximum_Load
3.56,0.0,17.28,100.0,20.18,Weekend,Sunday,Light_Load
51.19,48.92,0.0,72.3,100.0,Weekday,Friday,Light_Load
2.99,4.36,0.0,56.56,100.0,Weekday,Monday,Light_Load
2.92,5.72,0.0,45.47,100.0,Weekday,Monday,Light_Load
104.54,47.95,0.0,90.89,100.0,Weekday,Thursday,Medium_Load
4.93,0.0,20.2,100.0,23.71,Weekend,Sunday,Light_Load
3.06,5.76,0.0,46.92,100.0,Weekend,Sunday,Light_Load
52.81,28.22,0.0,88.2,100.0,Weekday,Tuesday,Maximum_Load
2.88,0.0,12.24,100.0,22.9,Weekend,Sunday,Medium_Load
48.42,16.27,0.0,94.79,100.0,Weekend,Sunday,Medium_Load
58.64,44.46,0.0,79.69,100.0,Weekday,Tuesday,Medium_Load
2.95,0.0,16.45,100.0,17.65,Weekday,Thursday,Light_Load
3.2,3.13,0.0,71.49,100.0,Weekday,Thursday,Light_Load
3.6,5.04,0.0,58.12,100.0,Weekday,Thursday,Medium_Load
125.1,50.22,0.0,92.8,100.0,Weekday,Thursday,Maximum_Load
2.95,4.68,0.0,53.32,100.0,Weekday,Monday,Light_Load
2.48,2.05,2.27,77.08,73.76,Weekday,Tuesday,Light_Load
3.82,0.0,16.34,100.0,22.76,Weekday,Friday,Medium_Load
58.25,27.25,0.0,90.58,100.0,Weekday,Friday,Maximum_Load
5.0,0.0,18.18,100.0,26.52,Weekday,Thursday,Medium_Load
42.77,17.86,0.0,92.28,100.0,Weekday,Thursday,Medium_Load
68.47,44.28,0.0,83.97,100.0,Weekday,Monday,Medium_Load
3.1,0.0,15.95,100.0,19.08,Weekend,Sunday,Light_Load
4.43,4.61,0.0,69.29,100.0,Weekday,Monday,Light_Load
4.07,5.87,0.0,56.98,100.0,Weekday,Thursday,Light_Load
58.79,33.62,0.0,86.81,100.0,Weekday,Friday,Maximum_Load
5.15,0.0,25.7,100.0,19.65,Weekend,Sunday,Light_Load
59.76,16.96,0.0,96.2,100.0,Weekday,Thursday,Medium_Load
4.97,9.22,0.0,47.45,100.0,Weekday,Thursday,Medium_Load
56.74,24.62,0.0,91.74,100.0,Weekend,Saturday,Maximum_Load
6.34,0.86,13.75,99.09,41.87,Weekend,Saturday,Medium_Load
5.8,5.26,0.0,74.07,100.0,Weekday,Tuesday,Light_Load
3.92,0.0,20.74,100.0,18.57,Weekend,Saturday,Light_Load
48.28,24.44,0.0,89.22,100.0,Weekday,Wednesday,Medium_Load
4.75,0.0,21.1,100.0,21.96,Weekend,Saturday,Maximum_Load
64.87,31.5,0.0,89.96,100.0,Weekday,Thursday,Maximum_Load
2.7,5.0,0.0,47.51,100.0,Weekend,Saturday,Light_Load
3.28,4.68,0.0,57.39,100.0,Weekday,Wednesday,Light_Load
51.08,17.68,0.0,94.5,100.0,Weekday,Thursday,Medium_Load
57.28,26.17,0.0,90.96,100.0,Weekday,Friday,Maximum_Load
3.28,0.0,13.64,100.0,23.38,Weekend,Saturday,Light_Load
3.31,3.74,0.0,66.27,100.0,Weekday,Monday,Light_Load
5.33,5.8,0.0,67.66,100.0,Weekday,Thursday,Light_Load
56.66,32.62,0.0,86.66,100.0,Weekday,Friday,Maximum_Load
5.22,6.12,0.0,64.89,100.0,Weekday,Tuesday,Light_Load
9.83,3.35,9.76,94.65,70.96,Weekend,Saturday,Medium_Load
40.1,3.13,0.4,99.7,100.0,Weekday,Thursday,Medium_Load
58.79,29.66,0.0,89.28,100.0,Weekday,Monday,Medium_Load
67.36,33.98,0.0,89.28,100.0,Weekday,Tuesday,Maximum_Load
30.35,0.54,2.02,99.98,99.78,Weekend,Sunday,Maximum_Load
59.36,46.84,0.0,78.5,100.0,Weekday,Thursday,Maximum_Load
90.58,19.87,0.5,97.68,100.0,Weekend,Sunday,Medium_Load
3.06,2.38,0.0,78.94,100.0,Weekday,Wednesday,Light_Load
32.69,9.07,4.39,96.36,99.11,Weekday,Monday,Maximum_Load
3.31,0.0,4.5,100.0,59.25,Weekend,Sunday,Light_Load
3.28,2.27,0.11,82.23,99.94,Weekend,Saturday,Light_Load
2.56,5.51,0.0,42.14,100.0,Weekday,Wednesday,Light_Load
48.92,46.26,0.0,72.66,100.0,Weekday,Friday,Light_Load
71.42,12.49,0.0,98.51,100.0,Weekday,Tuesday,Medium_Load
52.42,18.25,0.0,94.44,100.0,Weekday,Wednesday,Medium_Load
3.13,0.0,16.6,100.0,18.53,Weekend,Sunday,Light_Load
86.98,45.97,0.0,88.41,100.0,Weekday,Friday,Maximum_Load
2.95,0.0,11.41,100.0,25.03,Weekend,Saturday,Light_Load
69.16,21.38,0.0,95.54,100.0,Weekday,Thursday,Maximum_Load
2.77,5.47,0.0,45.18,100.0,Weekday,Wednesday,Medium_Load
5.18,0.0,26.78,100.0,18.99,Weekday,Wednesday,Medium_Load
3.02,0.0,14.72,100.0,20.1,Weekend,Sunday,Light_Load
3.06,0.0,12.64,100.0,23.53,Weekend,Sunday,Light_Load
10.22,0.11,5.47,99.99,88.17,Weekend,Sunday,Medium_Load
81.58,26.78,0.0,95.01,100.0,Weekday,Tuesday,Medium_Load
68.51,30.53,0.0,91.34,100.0,Weekday,Tuesday,Medium_Load
5.08,4.82,0.0,72.54,100.0,Weekday,Thursday,Medium_Load
2.77,4.54,0.0,52.08,100.0,Weekend,Sunday,Light_Load
3.92,5.29,0.0,59.54,100.0,Weekday,Wednesday,Light_Load
3.53,4.57,0.0,61.13,100.0,Weekday,Thursday,Light_Load
4.79,0.0,19.26,100.0,24.13,Weekday,Wednesday,Medium_Load
41.69,22.28,0.0,88.2,100.0,Weekend,Saturday,Medium_Load
3.6,0.0,13.68,100.0,25.45,Weekend,Saturday,Light_Load
19.22,5.54,18.9,96.09,71.3,Weekday,Tuesday,Medium_Load
3.1,3.64,0.0,64.84,100.0,Weekend,Saturday,Light_Load
2.77,5.22,0.0,46.87,100.0,Weekend,Sunday,Light_Load
92.56,52.16,0.0,87.12,100.0,Weekday,Monday,Maximum_Load
55.87,26.89,0.0,90.11,100.0,Weekday,Monday,Medium_Load
3.28,0.0,16.96,100.0,18.99,Weekend,Sunday,Light_Load
90.86,15.52,0.14,98.57,100.0,Weekday,Friday,Maximum_Load
77.51,43.7,0.0,87.11,100.0,Weekday,Thursday,Maximum_Load
2.56,5.29,0.0,43.56,100.0,Weekday,Wednesday,Light_Load
62.93,33.08,0.0,88.52,100.0,Weekday,Wednesday,Medium_Load
2.74,5.11,0.0,47.26,100.0,Weekday,Monday,Light_Load
71.39,25.2,0.0,94.3,100.0,Weekday,Monday,Medium_Load
3.02,0.0,14.51,100.0,20.38,Weekend,Sunday,Light_Load
110.52,49.18,0.0,91.36,100.0,Weekday,Tuesday,Medium_Load
2.66,5.29,0.0,44.92,100.0,Weekend,Sunday,Light_Load
3.35,4.43,0.0,60.32,100.0,Weekday,Thursday,Light_Load
3.49,4.0,0.0,65.74,100.0,Weekday,Friday,Light_Load
2.99,3.67,0.0,63.16,100.0,Weekday,Thursday,Light_Load
4.97,8.68,0.0,49.69,100.0,Weekday,Monday,Maximum_Load
84.92,69.7,0.0,77.3,100.0,Weekday,Monday,Light_Load
95.26,32.15,0.0,94.75,100.0,Weekday,Friday,Medium_Load
3.1,4.36,0.0,57.95,100.0,Weekday,Monday,Light_Load
2.7,4.75,0.0,49.42,100.0,Weekend,Sunday,Light_Load
129.85,63.86,0.0,89.74,100.0,Weekday,Friday,Maximum_Load
2.95,4.03,0.0,59.07,100.0,Weekday,Tuesday,Light_Load
114.8,40.25,0.0,94.37,100.0,Weekday,Tuesday,Maximum_Load
6.41,0.0,21.1,100.0,29.07,Weekday,Wednesday,Medium_Load
106.52,42.95,0.0,92.74,100.0,Weekday,Friday,Medium_Load
3.28,2.59,0.0,78.48,100.0,Weekday,Friday,Light_Load
3.17,6.48,0.0,43.94,100.0,Weekday,Thursday,Light_Load
35.14,8.39,0.0,97.27,100.0,Weekend,Saturday,Medium_Load
65.92,27.18,0.0,92.45,100.0,Weekday,Tuesday,Medium_Load
4.21,0.0,17.78,100.0,23.04,Weekend,Sunday,Light_Load
4.21,3.64,0.04,75.65,100.0,Weekday,Wednesday,Light_Load
2.74,0.0,17.32,100.0,15.63,Weekend,Saturday,Light_Load
95.33,47.27,0.0,89.59,100.0,Weekend,Saturday,Maximum_Load
82.62,20.77,0.58,96.98,100.0,Weekday,Tuesday,Medium_Load
3.42,4.25,0.0,62.69,100.0,Weekday,Friday,Light_Load
59.69,19.98,0.0,94.83,100.0,Weekday,Wednesday,Maximum_Load
2.81,0.04,10.69,99.99,25.42,Weekend,Sunday,Light_Load
3.38,5.76,0.0,50.61,100.0,Weekday,Thursday,Medium_Load
3.1,3.71,0.0,64.12,100.0,Weekday,Monday,Light_Load
82.48,34.16,0.0,92.39,100.0,Weekday,Monday,Medium_Load
3.24,4.64,0.0,57.25,100.0,Weekend,Sunday,Light_Load
3.6,3.31,0.0,73.61,100.0,Weekday,Wednesday,Light_Load
88.6,12.64,0.0,99.0,100.0,Weekend,Saturday,Maximum_Load
3.82,0.0,22.64,100.0,16.64,Weekday,Monday,Medium_Load
111.35,42.23,0.0,93.5,100.0,Weekday,Monday,Medium_Load
3.13,5.29,0.0,50.92,100.0,Weekday,Thursday,Light_Load
67.75,32.11,0.0,90.36,100.0,Weekday,Monday,Medium_Load
2.59,4.57,0.0,49.31,100.0,Weekend,Saturday,Medium_Load
4.61,0.0,13.9,100.0,31.48,Weekday,Thursday,Medium_Load
3.96,2.34,0.58,86.09,98.94,Weekday,Wednesday,Light_Load
3.24,6.19,0.18,46.37,99.85,Weekday,Friday,Medium_Load
49.28,50.94,0.0,69.53,100.0,Weekday,Friday,Light_Load
69.88,34.02,0.0,89.91,100.0,Weekday,Thursday,Maximum_Load
4.0,3.78,0.0,72.68,100.0,Weekend,Saturday,Light_Load
92.41,31.28,0.0,94.72,100.0,Weekend,Saturday,Maximum_Load
3.02,6.44,0.0,42.46,100.0,Weekday,Thursday,Light_Load
4.1,0.0,21.35,100.0,18.86,Weekday,Monday,Light_Load
3.38,2.77,0.0,77.34,100.0,Weekend,Sunday,Light_Load
2.81,6.23,0.0,41.12,100.0,Weekday,Friday,Light_Load
100.58,29.88,0.0,95.86,100.0,Weekend,Saturday,Medium_Load
3.82,0.0,20.59,100.0,18.24,Weekday,Tuesday,Medium_Load
62.1,18.94,0.0,95.65,100.0,Weekday,Monday,Medium_Load
3.92,6.19,0.0,53.5,100.0,Weekday,Friday,Light_Load
2.63,4.46,0.0,50.79,100.0,Weekend,Sunday,Light_Load
64.91,40.57,0.0,84.8,100.0,Weekday,Thursday,Maximum_Load
32.87,12.35,2.12,93.61,99.79,Weekday,Monday,Medium_Load
3.64,4.79,0.0,60.5,100.0,Weekday,Friday,Medium_Load
140.04,63.25,0.0,91.14,100.0,Weekday,Tuesday,Maximum_Load
50.18,46.58,0.0,73.29,100.0,Weekend,Sunday,Light_Load
28.98,23.04,0.0,78.28,100.0,Weekend,Saturday,Light_Load
59.76,18.18,0.0,95.67,100.0,Weekday,Wednesday,Medium_Load
3.56,4.75,0.0,59.97,100.0,Weekday,Thursday,Light_Load
5.44,0.0,19.08,100.0,27.42,Weekday,Monday,Medium_Load
37.33,29.02,0.0,78.95,100.0,Weekday,Tuesday,Light_Load
