Date,Start_Hour,End_Hour,Source,Production
12/18/2022,21,22,Wind,11400
1/29/2024,14,15,Wind,7917
8/1/2024,15,16,Solar,8835
11/10/2020,1,2,Wind,989
12/19/2022,1,2,Wind,12526
10/18/2024,13,14,Solar,4855
4/10/2020,17,18,Solar,3692
1/25/2023,0,1,Wind,2156
12/12/2021,12,13,Wind,5813
10/11/2020,13,14,Wind,6106
1/8/2024,23,0,Wind,5515
1/8/2020,18,19,Wind,2785
1/29/2022,20,21,Wind,8498
6/2/2021,15,16,Solar,5561
6/11/2024,7,8,Wind,2328
6/5/2020,21,22,Wind,6664
5/2/2021,13,14,Solar,4993
1/13/2022,0,1,Wind,3276
7/24/2020,3,4,Wind,1739
8/29/2024,5,6,Wind,2083
1/3/2024,0,1,Wind,17272
4/2/2024,2,3,Wind,12285
7/29/2020,16,17,Solar,3480
11/5/2024,6,7,Wind,1690
10/24/2022,8,9,Wind,11508
2/27/2023,10,11,Wind,15692
4/2/2020,15,16,Solar,4169
5/13/2020,3,4,Wind,3174
11/22/2023,14,15,Wind,7314
9/11/2021,11,12,Solar,4969
4/7/2025,15,16,Solar,9862
7/27/2025,22,23,Wind,3862
3/11/2021,13,14,Wind,16144
4/30/2022,16,17,Solar,8188
1/19/2023,23,0,Wind,1710
9/11/2022,4,5,Wind,472
9/25/2021,16,17,Solar,3402
8/8/2020,12,13,Solar,3996
6/8/2021,1,2,Wind,1148
6/10/2024,21,22,Wind,4062
6/18/2020,0,1,Wind,1443
5/30/2023,17,18,Wind,13363
2/17/2022,1,2,Wind,15609
5/11/2022,19,20,Wind,8878
5/7/2024,7,8,Wind,2974
11/22/2025,12,13,Wind,12324
4/9/2021,21,22,Wind,5279
12/24/2021,11,12,Wind,3872
3/11/2023,12,13,Wind,6406
8/13/2021,13,14,Solar,5323
2/1/2021,15,16,Wind,7166
9/11/2023,13,14,Solar,7117
7/1/2020,13,14,Wind,5874
3/10/2025,9,10,Solar,4807
6/23/2023,15,16,Solar,7976
2/9/2023,13,14,Solar,5168
5/24/2020,0,1,Wind,4384
7/26/2021,23,0,Wind,1465
9/28/2020,6,7,Wind,3962
8/25/2021,0,1,Wind,6786
12/16/2021,14,15,Wind,5553
3/11/2022,22,23,Wind,10557
4/13/2020,17,18,Wind,10961
10/4/2022,23,0,Wind,2160
6/12/2025,1,2,Wind,8382
8/18/2022,10,11,Solar,3688
10/25/2025,18,19,Wind,8209
10/24/2023,22,23,Wind,6448
10/13/2021,18,19,Wind,2194
7/19/2025,11,12,Wind,10173
6/1/2021,5,6,Wind,5221
6/30/2022,22,23,Wind,2181
1/4/2020,5,6,Wind,3143
4/23/2020,3,4,Wind,2541
9/19/2021,9,10,Wind,4133
2/1/2021,5,6,Wind,5020
7/8/2022,8,9,Wind,3748
7/8/2025,13,14,Solar,13125
7/7/2021,14,15,Solar,5096
1/22/2020,15,16,Wind,4074
6/28/2025,17,18,Solar,7681
2/25/2021,3,4,Wind,4820
5/22/2021,17,18,Wind,10961
2/16/2022,5,6,Wind,14822
6/22/2023,4,5,Wind,3376
6/18/2022,22,23,Wind,8199
6/8/2022,15,16,Wind,10512
12/1/2022,3,4,Wind,3869
4/17/2023,16,17,Wind,10404
12/9/2020,9,10,Wind,3334
2/7/2023,18,19,Wind,5042
9/28/2020,20,21,Wind,4228
2/12/2023,15,16,Solar,5718
11/23/2023,2,3,Wind,2948
12/12/2024,19,20,Wind,3528
5/11/2025,1,2,Wind,7504
5/30/2024,19,20,Wind,8561
7/29/2024,16,17,Solar,8215
8/27/2024,23,0,Wind,3000
11/13/2021,9,10,Wind,5084
9/20/2021,19,20,Wind,3112
2/13/2023,12,13,Solar,6722
11/14/2020,2,3,Wind,4362
1/29/2025,0,1,Wind,18199
3/2/2022,4,5,Wind,2961
6/6/2025,16,17,Wind,7448
7/15/2025,2,3,Wind,3144
5/15/2022,15,16,Solar,9252
6/6/2024,16,17,Solar,7935
12/1/2020,6,7,Wind,7577
2/1/2020,20,21,Wind,10073
12/5/2022,7,8,Wind,723
11/2/2021,17,18,Wind,1723
3/30/2024,15,16,Solar,7864
5/7/2020,14,15,Solar,4403
7/22/2024,4,5,Wind,3323
1/23/2022,23,0,Wind,3658
4/16/2024,8,9,Wind,14410
2/2/2021,17,18,Wind,9228
4/6/2025,12,13,Solar,8484
10/24/2025,20,21,Wind,12993
9/12/2024,19,20,Wind,4668
6/1/2021,20,21,Wind,3220
6/10/2022,4,5,Wind,2337
5/12/2024,4,5,Wind,3727
11/1/2025,1,2,Wind,13837
5/29/2022,9,10,Solar,7338
8/30/2023,18,19,Wind,7641
4/29/2023,20,21,Wind,2453
5/22/2022,15,16,Solar,5188
8/12/2022,12,13,Solar,8910
8/31/2020,13,14,Solar,4731
9/17/2020,1,2,Wind,5365
5/13/2023,10,11,Solar,7155
10/16/2021,15,16,Solar,4121
1/4/2022,8,9,Wind,6398
11/10/2024,22,23,Wind,2532
4/25/2022,21,22,Wind,2493
5/14/2021,11,12,Wind,7152
10/14/2020,8,9,Wind,3082
9/29/2021,13,14,Wind,11398
2/2/2020,2,3,Wind,6412
7/10/2021,19,20,Wind,3038
6/9/2022,0,1,Wind,6305
12/4/2021,2,3,Wind,8913
8/5/2020,4,5,Wind,1018
1/22/2020,16,17,Wind,3930
2/21/2024,0,1,Wind,3618
1/1/2021,12,13,Solar,1994
7/20/2021,22,23,Wind,3054
7/9/2025,11,12,Solar,9719
12/8/2024,6,7,Wind,16946
10/21/2024,20,21,Wind,4621
7/3/2025,13,14,Solar,9835
6/3/2022,8,9,Wind,3026
6/15/2022,13,14,Solar,6208
3/18/2022,5,6,Wind,8159
3/9/2021,8,9,Wind,2948
2/17/2022,19,20,Wind,8507
11/11/2021,5,6,Wind,982
6/6/2020,1,2,Wind,5766
10/24/2020,8,9,Wind,8585
9/18/2023,9,10,Wind,8347
11/24/2025,7,8,Wind,8309
9/9/2021,1,2,Wind,2685
9/25/2025,18,19,Wind,3302
5/12/2021,17,18,Wind,4435
6/2/2022,9,10,Solar,4378
1/14/2025,15,16,Solar,4353
3/22/2023,14,15,Wind,15456
7/7/2024,19,20,Wind,4892
1/28/2021,4,5,Wind,9675
2/12/2025,1,2,Wind,2685
8/25/2021,14,15,Solar,9454
7/17/2023,6,7,Wind,2269
6/25/2025,13,14,Solar,9397
3/3/2021,9,10,Wind,1845
6/22/2021,14,15,Wind,6749
3/19/2025,13,14,Solar,13786
5/31/2020,19,20,Wind,5250
2/21/2020,16,17,Wind,7148
6/4/2023,8,9,Wind,4706
3/3/2025,18,19,Wind,2282
8/17/2025,12,13,Solar,11455
1/3/2020,21,22,Wind,4570
5/19/2023,18,19,Wind,8236
4/3/2021,5,6,Wind,7508
7/16/2025,12,13,Solar,16160
6/8/2024,5,6,Wind,2141
9/29/2022,15,16,Solar,3999
9/19/2024,8,9,Wind,8855
5/23/2021,20,21,Wind,6519
11/19/2024,2,3,Wind,16568
11/2/2025,12,13,Wind,17124
3/6/2020,19,20,Wind,4409
9/24/2025,14,15,Wind,10617
3/6/2021,0,1,Wind,6907
1/8/2024,1,2,Wind,11458
1/29/2024,9,10,Wind,8026
6/8/2024,21,22,Wind,2990
9/5/2020,2,3,Wind,2313
8/29/2023,16,17,Solar,6026
3/31/2023,21,22,Wind,17308
8/2/2021,12,13,Solar,4915
11/12/2021,19,20,Wind,4622
4/7/2024,13,14,Wind,6534
8/23/2022,20,21,Wind,692
3/31/2025,12,13,Solar,12441
12/12/2024,23,0,Wind,3205
10/30/2023,14,15,Wind,6382
7/13/2025,23,0,Wind,2819
3/10/2020,16,17,Wind,12787
1/9/2021,3,4,Wind,2353
4/2/2021,2,3,Wind,7071
11/24/2022,21,22,Wind,10233
8/4/2025,4,5,Wind,2819
9/24/2021,10,11,Solar,3708
11/14/2020,14,15,Wind,9092
2/12/2025,11,12,Solar,3734
11/18/2024,17,18,Wind,7419
8/25/2025,11,12,Solar,7160
11/11/2025,13,14,Wind,13901
9/15/2021,9,10,Wind,2675
8/21/2022,7,8,Wind,794
11/14/2025,3,4,Wind,10916
4/30/2022,10,11,Solar,6810
10/9/2022,3,4,Wind,4965
4/26/2024,0,1,Wind,2294
3/12/2022,15,16,Wind,9696
2/21/2023,12,13,Solar,4252
3/29/2023,11,12,Solar,8491
4/27/2021,22,23,Wind,2003
2/17/2020,4,5,Wind,6453
1/19/2024,23,0,Wind,3521
3/31/2025,7,8,Wind,5090
11/2/2021,12,13,Wind,6192
11/11/2022,7,8,Wind,3461
10/26/2021,12,13,Solar,5605
9/22/2022,19,20,Wind,399
5/11/2025,13,14,Solar,4563
1/28/2022,1,2,Wind,2439
11/20/2022,10,11,Wind,9228
7/12/2022,1,2,Wind,4082
11/24/2024,12,13,Wind,22929
2/1/2020,4,5,Wind,9131
11/6/2024,5,6,Wind,189
10/28/2021,9,10,Wind,6796
10/22/2020,12,13,Wind,5144
3/10/2022,0,1,Wind,6808
11/3/2021,5,6,Wind,3819
12/8/2024,2,3,Wind,16670
6/3/2020,5,6,Wind,631
6/27/2020,11,12,Wind,9506
6/4/2021,3,4,Wind,1527
11/17/2020,22,23,Wind,2667
10/21/2021,8,9,Wind,11321
8/19/2021,23,0,Wind,940
6/4/2020,23,0,Wind,2918
8/14/2023,11,12,Solar,7955
5/13/2024,3,4,Wind,2321
8/11/2024,16,17,Solar,5870
5/4/2021,7,8,Wind,13322
4/26/2025,11,12,Solar,4018
1/21/2020,18,19,Wind,3303
11/2/2021,19,20,Wind,2311
7/29/2023,1,2,Wind,3618
5/21/2023,8,9,Wind,4686
2/7/2025,18,19,Wind,9119
7/25/2022,11,12,Wind,10186
10/16/2024,16,17,Wind,11196
1/11/2022,18,19,Wind,2621
4/19/2024,2,3,Wind,6475
7/28/2024,23,0,Wind,6281
4/5/2025,18,19,Wind,8043
