Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
1.582,0.198,238.57,6.6,1.0,1.0,19.0
2.208,0.062,246.32,8.8,0.0,0.0,19.0
0.292,0.082,248.36,1.2,0.0,0.0,0.0
0.266,0.082,243.26,1.2,0.0,0.0,0.0
1.386,0.0,233.22,5.8,0.0,0.0,17.0
0.962,0.24,241.11,4.0,0.0,0.0,13.0
1.558,0.082,239.83,6.4,0.0,1.0,18.0
2.112,0.118,237.66,8.8,0.0,0.0,18.0
2.148,0.434,237.92,9.2,0.0,2.0,30.0
3.1,0.0,240.18,13.6,0.0,46.0,0.0
1.686,0.112,238.55,7.0,0.0,2.0,18.0
0.276,0.0,241.94,1.2,0.0,0.0,1.0
1.5,0.062,238.61,6.2,0.0,0.0,18.0
1.284,0.0,237.89,5.4,0.0,0.0,18.0
0.08,0.0,240.28,0.2,0.0,0.0,1.0
0.252,0.254,240.33,1.4,0.0,0.0,1.0
0.962,0.156,234.92,4.2,0.0,0.0,0.0
0.496,0.188,241.68,2.2,0.0,0.0,0.0
1.878,0.092,237.42,8.0,0.0,0.0,17.0
0.212,0.0,238.78,0.8,0.0,0.0,0.0
3.644,0.378,240.11,15.4,49.0,0.0,1.0
1.008,0.392,238.48,4.6,0.0,0.0,12.0
0.61,0.0,248.09,2.4,0.0,0.0,1.0
0.316,0.268,244.26,1.6,0.0,1.0,1.0
0.29,0.114,241.15,1.4,0.0,0.0,0.0
0.298,0.064,242.87,1.2,0.0,0.0,0.0
0.25,0.156,242.2,1.2,0.0,0.0,0.0
1.55,0.24,233.62,8.0,15.0,0.0,0.0
0.198,0.0,238.57,1.0,0.0,0.0,0.0
3.788,0.19,237.07,16.0,37.0,0.0,17.0
0.33,0.098,246.26,1.4,0.0,0.0,1.0
2.022,0.0,235.82,8.4,0.0,0.0,17.0
0.228,0.0,246.98,1.0,0.0,0.0,0.0
0.08,0.0,241.08,0.2,0.0,0.0,1.0
1.45,0.194,239.2,6.0,0.0,0.0,18.0
0.416,0.17,240.93,1.8,0.0,0.0,1.0
2.142,0.0,237.59,9.0,0.0,0.0,18.0
0.326,0.108,243.8,1.4,0.0,0.0,0.0
1.394,0.12,240.76,5.8,0.0,0.0,1.0
0.234,0.0,244.64,1.0,0.0,0.0,0.0
1.388,0.0,240.36,5.8,0.0,0.0,18.0
0.542,0.178,241.34,2.4,0.0,0.0,0.0
0.778,0.0,233.61,3.2,0.0,0.0,0.0
1.348,0.0,246.09,5.4,0.0,0.0,19.0
0.562,0.066,240.58,2.2,0.0,0.0,0.0
0.914,0.264,242.3,3.8,0.0,2.0,12.0
0.336,0.162,241.54,1.6,0.0,0.0,0.0
0.282,0.0,240.59,1.4,0.0,0.0,0.0
0.186,0.072,240.48,0.8,0.0,0.0,0.0
0.256,0.0,243.13,1.2,0.0,0.0,0.0
1.598,0.224,240.15,6.8,0.0,2.0,19.0
0.214,0.0,241.38,0.8,0.0,0.0,0.0
0.23,0.106,240.02,1.0,0.0,2.0,0.0
0.192,0.084,242.7,0.8,0.0,0.0,0.0
0.282,0.056,232.79,1.2,0.0,0.0,0.0
0.364,0.204,238.91,1.8,0.0,2.0,0.0
1.52,0.224,240.87,8.4,22.0,0.0,1.0
1.212,0.046,235.73,5.0,0.0,0.0,17.0
0.212,0.0,232.88,1.0,0.0,0.0,0.0
2.248,0.158,236.36,9.6,0.0,0.0,17.0
0.212,0.12,239.05,1.0,0.0,0.0,0.0
0.326,0.252,244.44,1.6,0.0,0.0,0.0
3.782,0.084,244.23,16.4,0.0,0.0,0.0
1.442,0.086,241.14,6.0,0.0,0.0,19.0
1.498,0.09,241.68,6.2,0.0,0.0,18.0
0.352,0.158,247.61,1.6,0.0,0.0,0.0
0.38,0.094,249.39,1.6,0.0,1.0,0.0
1.428,0.048,236.08,6.0,1.0,0.0,18.0
2.116,0.092,238.84,8.8,0.0,2.0,17.0
0.354,0.088,243.53,1.4,0.0,0.0,0.0
0.286,0.266,243.65,1.6,0.0,2.0,0.0
1.552,0.148,240.14,6.4,0.0,0.0,18.0
0.212,0.086,241.62,0.8,0.0,0.0,1.0
0.404,0.072,242.11,1.6,0.0,0.0,0.0
1.174,0.062,242.89,4.8,0.0,1.0,0.0
0.26,0.0,241.28,1.0,0.0,0.0,0.0
0.382,0.214,242.92,1.8,0.0,0.0,0.0
3.516,0.186,236.65,14.8,0.0,0.0,17.0
0.462,0.24,241.81,2.2,0.0,1.0,1.0
0.26,0.092,242.63,1.2,0.0,0.0,0.0
0.49,0.084,242.85,2.2,0.0,2.0,0.0
0.466,0.0,241.56,2.0,0.0,2.0,0.0
0.414,0.094,241.88,2.0,0.0,0.0,1.0
4.14,0.114,238.78,17.6,0.0,64.0,0.0
0.438,0.24,240.89,2.0,0.0,1.0,1.0
0.24,0.056,241.68,1.0,0.0,2.0,0.0
1.014,0.046,245.06,4.0,0.0,2.0,1.0
1.508,0.268,243.13,6.2,0.0,0.0,0.0
0.31,0.08,236.98,1.4,0.0,1.0,0.0
0.082,0.0,241.58,0.2,0.0,0.0,1.0
1.39,0.08,240.2,5.8,0.0,0.0,0.0
1.184,0.06,232.74,5.0,0.0,0.0,16.0
0.212,0.0,245.26,0.8,0.0,0.0,0.0
0.222,0.0,244.43,1.0,0.0,0.0,0.0
0.492,0.21,242.56,2.2,0.0,1.0,1.0
0.348,0.24,240.39,1.8,0.0,1.0,0.0
0.884,0.212,237.37,3.8,0.0,0.0,0.0
0.32,0.232,240.62,1.6,0.0,0.0,0.0
0.282,0.0,246.25,1.2,0.0,0.0,0.0
0.264,0.046,247.4,1.2,0.0,0.0,0.0
0.268,0.0,243.29,1.2,0.0,1.0,0.0
1.048,0.188,240.87,4.4,0.0,1.0,0.0
0.476,0.192,241.25,2.2,0.0,0.0,0.0
1.624,0.168,239.83,6.8,0.0,1.0,18.0
0.36,0.172,246.44,1.6,0.0,0.0,1.0
1.0916150365006245,0.12371447630387258,240.8398579745081,4.627759310587134,1.1219233096502186,1.2985199679887571,6.45844735712055
0.544,0.154,233.55,2.4,0.0,1.0,1.0
0.298,0.106,242.37,1.2,0.0,0.0,0.0
3.1,0.276,239.56,13.0,1.0,1.0,18.0
1.338,0.066,242.38,5.4,0.0,0.0,19.0
0.134,0.0,238.54,0.6,0.0,0.0,1.0
1.558,0.122,235.84,6.6,1.0,4.0,18.0
2.806,0.076,238.42,11.8,0.0,1.0,17.0
1.882,0.094,235.73,8.0,0.0,0.0,0.0
2.964,0.298,235.95,13.4,24.0,0.0,17.0
0.238,0.06,241.46,1.0,0.0,0.0,0.0
0.284,0.0,248.63,1.2,0.0,0.0,1.0
0.75,0.068,232.85,3.6,0.0,2.0,0.0
0.362,0.128,243.83,1.6,0.0,0.0,1.0
1.328,0.0,244.33,5.4,0.0,0.0,19.0
1.0916150365006245,0.12371447630387258,240.8398579745081,4.627759310587134,1.1219233096502186,1.2985199679887571,6.45844735712055
0.252,0.15,244.0,1.2,0.0,0.0,1.0
0.416,0.28,245.25,2.0,0.0,2.0,0.0
0.128,0.0,235.49,0.6,0.0,1.0,0.0
1.43,0.074,242.61,5.8,0.0,0.0,19.0
3.436,0.072,237.66,14.4,35.0,0.0,18.0
0.306,0.096,241.02,1.4,0.0,0.0,0.0
0.838,0.232,238.27,3.6,0.0,1.0,0.0
1.414,0.198,239.31,6.0,0.0,0.0,18.0
1.632,0.104,242.93,6.6,1.0,1.0,18.0
1.356,0.088,238.24,5.6,0.0,0.0,18.0
1.41,0.106,243.93,5.8,0.0,0.0,18.0
